Algorithm,k,n,N,avg_ratio,sd_ratio,min_ratio,max_ratio
FirstFit,2,50,100,1.315,0.453131639623943,1.0,3.0
FirstFit+Degree,2,50,100,1.01,0.07035264706814477,1.0,1.5
FirstFit+SmallestLast,2,50,100,1.0,0.0,1.0,1.0
FirstFit,2,100,100,1.495,0.7088723439378913,1.0,4.5
FirstFit+Degree,2,100,100,1.03,0.11934162828797092,1.0,1.5
FirstFit+SmallestLast,2,100,100,1.0,0.0,1.0,1.0
FirstFit,2,200,100,1.36,0.5820548760966432,1.0,5.0
FirstFit+Degree,2,200,100,1.05,0.19462473604038077,1.0,2.5
FirstFit+SmallestLast,2,200,100,1.0,0.0,1.0,1.0
FirstFit,2,400,100,1.49,0.6112580172368814,1.0,4.5
FirstFit+Degree,2,400,100,1.11,0.2893741068882526,1.0,3.0
FirstFit+SmallestLast,2,400,100,1.0,0.0,1.0,1.0
FirstFit,2,800,100,1.51,0.6112580172368817,1.0,3.5
FirstFit+Degree,2,800,100,1.055,0.18660983983496787,1.0,2.0
FirstFit+SmallestLast,2,800,100,1.0,0.0,1.0,1.0
FirstFit,2,1600,100,1.385,0.47596260781746713,1.0,3.0
FirstFit+Degree,2,1600,100,1.105,0.36442150087917463,1.0,4.0
FirstFit+SmallestLast,2,1600,100,1.0,0.0,1.0,1.0
FirstFit,3,50,100,1.8100000000000005,0.5865208726096062,1.0,3.3333333333333335
FirstFit+Degree,3,50,100,1.1199999999999997,0.2248331467628322,1.0,2.3333333333333335
FirstFit+SmallestLast,3,50,100,1.0,0.0,1.0,1.0
FirstFit,3,100,100,1.9633333333333338,0.7383893655916608,1.0,4.333333333333333
FirstFit+Degree,3,100,100,1.2166666666666663,0.4002664656782737,1.0,3.6666666666666665
FirstFit+SmallestLast,3,100,100,1.0,0.0,1.0,1.0
FirstFit,3,200,100,2.19,1.0500975316789196,1.0,5.333333333333333
FirstFit+Degree,3,200,100,1.2533333333333334,0.4240788525453805,1.0,3.0
FirstFit+SmallestLast,3,200,100,1.0,0.0,1.0,1.0
FirstFit,3,400,100,2.1666666666666665,0.9338382472644132,1.0,5.0
FirstFit+Degree,3,400,100,1.1966666666666663,0.28464245002223015,1.0,2.3333333333333335
FirstFit+SmallestLast,3,400,100,1.0,0.0,1.0,1.0
FirstFit,3,800,100,2.2500000000000013,1.2529426642370034,1.0,8.333333333333334
FirstFit+Degree,3,800,100,1.31,0.5670626463569771,1.0,5.0
FirstFit+SmallestLast,3,800,100,1.0,0.0,1.0,1.0
FirstFit,3,1600,100,2.253333333333333,1.0424438178414128,1.0,8.0
FirstFit+Degree,3,1600,100,1.3866666666666663,0.708644712704466,1.0,6.0
FirstFit+SmallestLast,3,1600,100,1.0,0.0,1.0,1.0
FirstFit,4,50,100,1.9225,0.47099588237278806,1.0,3.0
FirstFit+Degree,4,50,100,1.295,0.3359368026184914,1.0,2.5
FirstFit+SmallestLast,4,50,100,1.0575,0.16227159550294298,1.0,2.0
FirstFit,4,100,100,2.325,0.7600338907914008,1.0,3.75
FirstFit+Degree,4,100,100,1.425,0.520416499866533,1.0,3.0
FirstFit+SmallestLast,4,100,100,1.0025,0.024999999999999994,1.0,1.25
FirstFit,4,200,100,2.8725,1.1373452830733917,1.0,5.25
FirstFit+Degree,4,200,100,1.49,0.6050294257807682,1.0,3.5
FirstFit+SmallestLast,4,200,100,1.0025,0.024999999999999998,1.0,1.25
FirstFit,4,400,100,2.95,1.2002735378473384,1.0,6.25
FirstFit+Degree,4,400,100,1.5725,0.5874261182859037,1.0,4.25
FirstFit+SmallestLast,4,400,100,1.005,0.0351763235340724,1.0,1.25
FirstFit,4,800,100,3.0375,1.3959605324223208,1.25,8.25
FirstFit+Degree,4,800,100,1.6075,0.6855792728736331,1.0,4.25
FirstFit+SmallestLast,4,800,100,1.0,0.0,1.0,1.0
FirstFit,4,1600,100,3.235,1.6509944967451675,1.0,8.0
FirstFit+Degree,4,1600,100,1.585,0.6207888432299568,1.0,4.75
FirstFit+SmallestLast,4,1600,100,1.0,0.0,1.0,1.0
